Address,Baths,Price,Rooms,Surface,Title
Móstoles,2 baños,173.000 €,4 dorm.,120 m,Piso en venta en Centro - Hospital
Humanes De Madrid,1 baño,159.000 €,2 dorm.,82 m,Piso en venta en Humanes De Madrid
Coslada,1 baño,185.000 €,3 dorm.,75 m,Piso en venta en Coslada
El Naranjo- Fuenlabrada,1 baño,149.000 €,3 dorm.,85 m,Piso en venta en El Naranjo - La Serna - La Avanzada
La Avanzada- Fuenlabrada,1 baño,125.000 €,3 dorm.,82 m,Piso en venta en El Naranjo - La Serna - La Avanzada
Getafe,1 baño,149.990 €,3 dorm.,70 m,Piso en venta en Juan De La Cierva
Móstoles,1 baño,79.900 €,2 dorm.,52 m,Piso en venta en Centro - Hospital
Fuencarral - Tres Olivos - Virgen De Begoña- Madrid,1 baño,170.000 €,3 dorm.,72 m,Piso en venta en Fuencarral
Lavapiés - Embajadores- Madrid,1 baño,169.990 €,2 dorm.,51 m,Piso en venta en Centro
Villa De Vallecas- Casco Histórico De Vallecas- Madrid,2 baños,206.000 €,3 dorm.,117 m,Piso en venta en Calle Puerto de las Pilas
Villa De Vallecas- Casco Histórico De Vallecas- Madrid,1 baño,179.000 €,3 dorm.,78 m,Piso en venta en Calle Francisco Fatou
Chamartín- Prosperidad- Madrid,1 baño,249.000 €,1 dorm.,70 m,Piso en venta en C. de Javier Ferrero
Carabanchel Alto - Buena Vista- Madrid,1 baño,198.000 €,1 dorm.,103 m,Piso en venta en Carabanchel
Móstoles,2 baños,175.000 €,4 dorm.,135 m,Piso en venta en Centro - Hospital
Centro- Alcorcón,1 baño,129.000 €,3 dorm.,71 m,Piso en venta en Centro - Ondarreta - Torres Bellas
Alameda De Osuna- Madrid,2 baños,379.990 €,3 dorm.,115 m,Piso en venta en Barajas
Retamas- Alcorcón,2 baños,289.000 €,4 dorm.,105 m,Piso en venta en Parque Oeste - Retamas - Ensanche Sur
Torres Bellas- Alcorcón,1 baño,125.000 €,3 dorm.,60 m,Piso en venta en Centro - Ondarreta - Torres Bellas
Casco Histórico De Vallecas- Madrid,1 baño,190.000 €,1 dorm.,60 m,Piso en venta en Villa De Vallecas
Alameda De Osuna- Madrid,1 baño,240.000 €,2 dorm.,65 m,Piso en venta en Barajas
Palomeras - Portazgo- Madrid,1 baño,167.500 €,3 dorm.,91 m,Piso en venta en Puente De Vallecas
Villa De Vallecas- Casco Histórico De Vallecas- Madrid,2 baños,99.900 €,2 dorm.,59 m,Piso en venta en Calle Puerto de Lumbreras
Torrejón De Ardoz,2 baños,265.000 €,3 dorm.,101 m,Piso en venta en Torrejón De Ardoz
Salamanca- Guindalera- Madrid,1 baño,510.000 €,3 dorm.,90 m,Piso en venta en Calle de Coslada
Coslada,2 baños,375.500 €,3 dorm.,90 m,Piso en venta en Coslada
Fuencarral - Tres Olivos - Virgen De Begoña- Madrid,2 baños,330.000 €,2 dorm.,88 m,Piso en venta en Fuencarral
Puerta Del Ángel- Madrid,1 baño,155.000 €,2 dorm.,50 m,Piso en venta en Latina
Aranjuez,2 baños,139.500 €,3 dorm.,162 m,Piso en venta en Aranjuez
Parla,1 baño,79.900 €,3 dorm.,79 m,Piso en venta en Parla
Parla,1 baño,96.000 €,3 dorm.,71 m,Piso en venta en Parla
Parla,1 baño,99.900 €,3 dorm.,70 m,Piso en venta en Parla
Parla,2 baños,215.000 €,3 dorm.,117 m,Piso en venta en Parla
Parla,1 baño,127.500 €,4 dorm.,86 m,Piso en venta en Parla
Parla,1 baño,97.500 €,2 dorm.,70 m,Piso en venta en Parla
Parla,1 baño,119.000 €,2 dorm.,80 m,Piso en venta en Parla
Parla,2 baños,155.000 €,4 dorm.,114 m,Piso en venta en Parla
Moraleja De Enmedio,3 baños,429.900 €,4 dorm.,270 m,Casa en venta en Moraleja De Enmedio
