Address,Baths,Price,Rooms,Surface,Title
Latina- Lucero- Madrid,1 baño,185.000 €,2 dorm.,67 m,Piso en venta en Paseo de Extremadura
Pinto,3 baños,349.000 €,4 dorm.,109 m,Piso en venta en Pinto
Fuenlabrada,1 baño,150.000 €,3 dorm.,72 m,Piso en venta en Centro
Argüelles - Casa De Campo- Madrid,1 baño,279.000 €,3 dorm.,100 m,Piso en venta en Moncloa - Aravaca
Móstoles,1 baño,135.000 €,3 dorm.,77 m,Piso en venta en Centro - Hospital
Delicias - Embajadores- Madrid,1 baño,220.000 €,3 dorm.,52 m,Piso en venta en Arganzuela
Carabanchel Alto - Buena Vista- Madrid,1 baño,134.850 €,3 dorm.,78 m,Piso en venta en Carabanchel
Carabanchel Alto - Buena Vista- Madrid,1 baño,145.000 €,1 dorm.,64 m,Piso en venta en Carabanchel
Carabanchel Alto - Buena Vista- Madrid,2 baños,205.000 €,2 dorm.,94 m,Piso en venta en Carabanchel
Carabanchel Alto - Buena Vista- Madrid,2 baños,430.000 €,4 dorm.,159 m,Piso en venta en Carabanchel
Parque Oeste- Alcorcón,2 baños,269.000 €,4 dorm.,130 m,Piso en venta en Parque Oeste - Retamas - Ensanche Sur
Delicias - Embajadores- Madrid,1 baño,180.000 €,2 dorm.,52 m,Piso en venta en Arganzuela
Latina- Lucero- Madrid,1 baño,99.500 €,2 dorm.,35 m,Piso en venta en Paseo perales
Carabanchel Alto - Buena Vista- Madrid,1 baño,205.000 €,3 dorm.,91 m,Piso en venta en Carabanchel
Pozuelo De Alarcón,1 baño,190.000 €,3 dorm.,65 m,Piso en venta en Calle Julio Ferrer
Chorrillo- Alcalá De Henares,1 baño,111.000 €,3 dorm.,65 m,Piso en venta en Chorrillo - Estación - Ensanche
Valdemoro,2 baños,234.000 €,3 dorm.,127 m,Ático en venta en Valdemoro
Valdemoro,1 baño,117.000 €,3 dorm.,72 m,Piso en venta en Valdemoro
Orcasitas - San Fermin- Madrid,2 baños,247.000 €,3 dorm.,140 m,Piso en venta en Usera
Pilar- Madrid,1 baño,215.000 €,2 dorm.,67 m,Piso en venta en Fuencarral
Torrejón De Ardoz,1 baño,162.000 €,3 dorm.,83 m,Piso en venta en Torrejón De Ardoz
Opañel - San Isidro- Madrid,1 baño,129.500 €,2 dorm.,65 m,Piso en venta en Carabanchel
Getafe Centro- Getafe,2 baños,360.000 €,3 dorm.,117 m,Piso en venta en Getafe Centro - San Isidro -  La Alhondiga
Getafe Centro- Getafe,2 baños,480.000 €,4 dorm.,184 m,Casa en venta en Getafe Centro - San Isidro -  La Alhondiga
Quintana- Madrid,1 baño,145.000 €,2 dorm.,53 m,Piso en venta en Ciudad Lineal
Marque De Vadillo - Comillas- Madrid,2 baños,239.000 €,2 dorm.,74 m,Piso en venta en Carabanchel
Rivas-Vaciamadrid,2 baños,255.000 €,3 dorm.,115 m,Piso en venta en Rivas-Vaciamadrid
Rivas-Vaciamadrid,2 baños,330.000 €,3 dorm.,119 m,Piso en venta en Rivas-Vaciamadrid
San Fernando De Henares,1 baño,156.000 €,3 dorm.,78 m,Piso en venta en San Fernando De Henares
Getafe Centro- Getafe,2 baños,345.000 €,3 dorm.,135 m,Piso en venta en Getafe Centro - San Isidro -  La Alhondiga
Pilar- Madrid,1 baño,220.000 €,2 dorm.,71 m,Piso en venta en Fuencarral
Pilar- Madrid,1 baño,192.000 €,2 dorm.,64 m,Piso en venta en Fuencarral
Delicias - Embajadores- Madrid,2 baños,387.000 €,4 dorm.,92 m,Piso en venta en Arganzuela
Universidad- Móstoles,1 baño,187.000 €,3 dorm.,91 m,Piso en venta en Norte - Universidad
Madrid,1 baño,169.000 €,2 dorm.,75 m,Piso en venta en Moratalaz
Malasaña - Justicia - Universidad- Madrid,2 baños,364.900 €,2 dorm.,117 m,Piso en venta en Centro
Fuenlabrada,2 baños,199.000 €,4 dorm.,146 m,Piso en venta en Centro
Reyes Catolicos- Alcalá De Henares,1 baño,142.000 €,3 dorm.,91 m,Piso en venta en Reyes Catolicos - Rinconada - Venecia
Moncloa - Aravaca- Valdezarza- Madrid,1 baño,167.000 €,3 dorm.,60 m,Piso en venta en Calle de San Restituto
Pueblo Nuevo- Madrid,2 baños,210.000 €,3 dorm.,108 m,Piso en venta en Ciudad Lineal
Valdeacederas- Madrid,1 baño,299.000 €,3 dorm.,77 m,Piso en venta en Tetuán
Madrid,1 baño,186.000 €,2 dorm.,55 m,Piso en venta en Moratalaz
Numancia- Madrid,1 baño,126.000 €,2 dorm.,59 m,Piso en venta en Puente De Vallecas
San Martín De La Vega,1 baño,212.000 €,3 dorm.,146 m,Casa en venta en San Martín De La Vega
Argüelles - Casa De Campo- Madrid,1 baño,269.500 €,2 dorm.,83 m,Piso en venta en Moncloa - Aravaca
Villaverde Alto- Madrid,1 baño,129.999 €,3 dorm.,73 m,Piso en venta en Villaverde
Parla,2 baños,50.000 €,1 dorm.,55 m,Local comercial en venta en Calle Galilea
Loeches,3 baños,149.900 €,9 dorm.,310 m,Casa en venta en Loeches
Berruguete- Madrid,2 baños,360.000 €,4 dorm.,112 m,Piso en venta en Tetuán
Reyes Catolicos- Alcalá De Henares,1 baño,130.000 €,3 dorm.,65 m,Piso en venta en Reyes Catolicos - Rinconada - Venecia
Torrejón De Ardoz,2 baños,189.000 €,3 dorm.,115 m,Piso en venta en Torrejón De Ardoz
Getafe,1 baño,124.990 €,3 dorm.,71 m,Piso en venta en Juan De La Cierva
Carrascal- Leganés,2 baños,279.900 €,3 dorm.,106 m,Piso en venta en Zarzaquemada - Carrascal
San Sebastián De Los Reyes,2 baños,245.000 €,4 dorm.,99 m,Piso en venta en San Sebastián De Los Reyes
Valdeacederas- Madrid,1 baño,155.000 €,1 dorm.,46 m,Piso en venta en Tetuán
Escritores- Leganés,1 baño,200.000 €,3 dorm.,85 m,Piso en venta en Centro - Escritores
Acacias - Legazpi- Madrid,1 baño,135.000 €,2 dorm.,35 m,Piso en venta en Arganzuela
Fuencarral - Tres Olivos - Virgen De Begoña- Madrid,2 baños,280.000 €,4 dorm.,99 m,Local comercial en venta en Fuencarral
Montecarmelo- Madrid,1 baño,309.000 €,1 dorm.,60 m,Piso en venta en Fuencarral
Universidad- Móstoles,1 baño,179.000 €,3 dorm.,87 m,Piso en venta en Norte - Universidad
Valdemoro,4 baños,387.000 €,4 dorm.,265 m,Casa en venta en Valdemoro
Getafe Centro- Getafe,1 baño,107.500 €,2 dorm.,55 m,Piso en venta en Getafe Centro - San Isidro -  La Alhondiga
Torrejón De Ardoz,2 baños,279.000 €,3 dorm.,154 m,Piso en venta en Torrejón De Ardoz
Humanes De Madrid,2 baños,236.000 €,3 dorm.,167 m,Piso en venta en Humanes De Madrid
Madrid,1 baño,172.000 €,2 dorm.,60 m,Piso en venta en Moratalaz
Chamartín- Prosperidad- Madrid,2 baños,545.000 €,4 dorm.,137 m,Piso en venta en Corazon de Maria
Pueblo Nuevo- Madrid,1 baño,169.000 €,2 dorm.,74 m,Piso en venta en Ciudad Lineal
Madrid,2 baños,635.000 €,3 dorm.,140 m,Piso en venta en Retiro
Pueblo Nuevo- Madrid,1 baño,140.000 €,2 dorm.,62 m,Piso en venta en Ciudad Lineal
Palomeras - Portazgo- Madrid,1 baño,99.500 €,2 dorm.,51 m,Piso en venta en Puente De Vallecas
Palomeras - Portazgo- Madrid,1 baño,115.000 €,3 dorm.,66 m,Piso en venta en Puente De Vallecas
San Sebastián De Los Reyes,1 baño,195.000 €,2 dorm.,72 m,Piso en venta en San Sebastián De Los Reyes
Palomeras - Portazgo- Madrid,2 baños,239.000 €,3 dorm.,88 m,Piso en venta en Puente De Vallecas
Lavapiés - Embajadores- Madrid,1 baño,125.000 €,1 dorm.,39 m,Piso en venta en Centro
Lavapiés - Embajadores- Madrid,1 baño,275.000 €,1 dorm.,71 m,Piso en venta en Centro
Lavapiés - Embajadores- Madrid,1 baño,145.000 €,1 dorm.,32 m,Piso en venta en Centro
Lavapiés - Embajadores- Madrid,1 baño,127.000 €,2 dorm.,44 m,Piso en venta en Centro
Madrid,1 baño,180.000 €,3 dorm.,65 m,Piso en venta en Moratalaz
Pueblo Nuevo- Madrid,1 baño,255.000 €,4 dorm.,85 m,Piso en venta en Ciudad Lineal
Puerta Bonita - Abrantes- Madrid,1 baño,95.000 €,2 dorm.,47 m,Piso en venta en Carabanchel
Pueblo Nuevo- Madrid,1 baño,180.000 €,2 dorm.,52 m,Piso en venta en Ciudad Lineal
Villaverde Alto- Madrid,1 baño,170.000 €,3 dorm.,80 m,Piso en venta en Villaverde
Lucero- Madrid,1 baño,115.000 €,2 dorm.,42 m,Piso en venta en Latina
Sol- Madrid,1 baño,239.900 €,1 dorm.,45 m,Piso en venta en Centro
Pueblo Nuevo- Madrid,1 baño,142.000 €,2 dorm.,54 m,Piso en venta en Ciudad Lineal
Ventas- Madrid,1 baño,197.000 €,2 dorm.,72 m,Piso en venta en Ciudad Lineal
Torrejón De Ardoz,1 baño,107.000 €,3 dorm.,68 m,Piso en venta en Torrejón De Ardoz
Coslada,2 baños,204.500 €,3 dorm.,95 m,Piso en venta en Coslada
Getafe Norte- Getafe,2 baños,289.000 €,3 dorm.,98 m,Piso en venta en Getafe Norte - El Bercial - Los Molinos
Madrid,1 baño,240.000 €,3 dorm.,91 m,Piso en venta en Moratalaz
Lavapiés - Embajadores- Madrid,1 baño,439.000 €,2 dorm.,70 m,Piso en venta en Centro
Fuencarral - Tres Olivos - Virgen De Begoña- Madrid,1 baño,170.000 €,2 dorm.,61 m,Piso en venta en Fuencarral
Fuencarral - Tres Olivos - Virgen De Begoña- Madrid,1 baño,240.000 €,3 dorm.,85 m,Piso en venta en Fuencarral
Madrid,2 baños,530.000 €,4 dorm.,116 m,Piso en venta en Retiro
Villaverde Alto- Madrid,1 baño,80.000 €,2 dorm.,42 m,Piso en venta en Villaverde
Pueblo Nuevo- Madrid,1 baño,165.000 €,2 dorm.,56 m,Piso en venta en Ciudad Lineal
Ensanche- Alcalá De Henares,3 baños,360.000 €,3 dorm.,163 m,Casa en venta en Chorrillo - Estación - Ensanche
Centro- Leganés,1 baño,189.900 €,2 dorm.,71 m,Piso en venta en Centro - Escritores
Cuzco - Castillejos- Madrid,1 baño,178.000 €,1 dorm.,42 m,Piso en venta en Tetuán
Montecarmelo- Madrid,2 baños,535.000 €,4 dorm.,117 m,Piso en venta en Fuencarral
Juan De Austria- Alcalá De Henares,2 baños,252.000 €,3 dorm.,110 m,Piso en venta en Pryconsa - Juan De Austria - El Val
Puerta Bonita - Abrantes- Madrid,1 baño,100.000 €,2 dorm.,58 m,Piso en venta en Carabanchel
Puerta Bonita - Abrantes- Madrid,1 baño,120.000 €,3 dorm.,55 m,Piso en venta en Carabanchel
Pueblo Nuevo- Madrid,1 baño,230.000 €,4 dorm.,94 m,Piso en venta en Ciudad Lineal
Fuencarral- Peñagrande- Madrid,1 baño,220.000 €,2 dorm.,60 m,Piso en venta en Plaza del pico salvaguardia
Aluche- Madrid,1 baño,169.000 €,2 dorm.,74 m,Piso en venta en Latina
Santos- Leganés,1 baño,99.000 €,1 dorm.,55 m,Piso en venta en San Nicasio - Santos - Batallas
Santos- Leganés,1 baño,89.900 €,1 dorm.,49 m,Piso en venta en San Nicasio - Santos - Batallas
Ciudad Jardín- Madrid,1 baño,259.000 €,2 dorm.,62 m,Piso en venta en Chamartín
Chorrillo- Alcalá De Henares,1 baño,205.000 €,3 dorm.,96 m,Piso en venta en Chorrillo - Estación - Ensanche
El Bercial- Getafe,2 baños,349.000 €,3 dorm.,109 m,Piso en venta en Getafe Norte - El Bercial - Los Molinos
Alcobendas,1 baño,135.000 €,1 dorm.,25 m,Piso en venta en Alcobendas
Alcobendas,1 baño,149.000 €,2 dorm.,36 m,Piso en venta en Alcobendas
Villafontana I- Móstoles,2 baños,169.900 €,3 dorm.,90 m,Piso en venta en Villafontana I - Pau
Pinar Del Rey- Madrid,1 baño,155.000 €,2 dorm.,60 m,Piso en venta en Hortaleza
Ensanche- Alcalá De Henares,2 baños,370.000 €,4 dorm.,151 m,Piso en venta en Chorrillo - Estación - Ensanche
Delicias - Embajadores- Madrid,2 baños,415.000 €,3 dorm.,100 m,Piso en venta en Arganzuela
Ciempozuelos,1 baño,112.000 €,3 dorm.,81 m,Piso en venta en Ciempozuelos
Casco Histórico De Vallecas- Madrid,2 baños,150.000 €,2 dorm.,80 m,Piso en venta en Villa De Vallecas
Barajas- Alameda De Osuna- Madrid,1 baño,159.900 €,1 dorm.,46 m,Piso en venta en C. de Samaniego
Lavapiés - Embajadores- Madrid,1 baño,128.000 €,1 dorm.,23 m,Piso en venta en Centro
Palomeras - Portazgo- Madrid,1 baño,93.000 €,3 dorm.,80 m,Local comercial en venta en Puente De Vallecas
Casco Histórico De Vallecas- Madrid,1 baño,129.900 €,3 dorm.,56 m,Piso en venta en Villa De Vallecas
Parla,1 baño,136.000 €,2 dorm.,78 m,Piso en venta en Parla
Peñagrande- Madrid,2 baños,259.000 €,2 dorm.,66 m,Piso en venta en Fuencarral
Peñagrande- Madrid,1 baño,263.000 €,2 dorm.,67 m,Piso en venta en Fuencarral
Torrejón De Ardoz,1 baño,299.000 €,2 dorm.,62 m,Piso en venta en Torrejón De Ardoz
Ciempozuelos,1 baño,102.000 €,3 dorm.,84 m,Piso en venta en Ciempozuelos
Ciempozuelos,3 baños,222.000 €,4 dorm.,145 m,Casa en venta en Ciempozuelos
Ciempozuelos,2 baños,144.000 €,3 dorm.,85 m,Piso en venta en Ciempozuelos
Ciempozuelos,1 baño,125.000 €,2 dorm.,97 m,Piso en venta en Ciempozuelos
Collado Villalba,1 baño,200.000 €,3 dorm.,94 m,Piso en venta en Collado Villalba
San Diego- Madrid,2 baños,169.000 €,2 dorm.,76 m,Piso en venta en Puente De Vallecas
Simancas- Madrid,1 baño,159.999 €,2 dorm.,50 m,Piso en venta en San Blas
Pilar- Madrid,1 baño,185.000 €,2 dorm.,56 m,Piso en venta en Fuencarral
Madrid,2 baños,750.000 €,6 dorm.,185 m,Piso en venta en Chamberí
Lucero- Madrid,1 baño,150.000 €,3 dorm.,74 m,Piso en venta en Latina
Puerta Del Ángel- Madrid,1 baño,135.000 €,3 dorm.,76 m,Piso en venta en Latina
Villaverde Alto- Madrid,2 baños,165.000 €,3 dorm.,85 m,Piso en venta en Villaverde
Alcobendas,1 baño,160.000 €,3 dorm.,64 m,Piso en venta en Alcobendas
Alcobendas,1 baño,133.000 €,2 dorm.,56 m,Piso en venta en Alcobendas
Collado Villalba,3 baños,289.000 €,4 dorm.,212 m,Piso en venta en Collado Villalba
San Sebastián De Los Reyes,1 baño,180.000 €,3 dorm.,72 m,Piso en venta en San Sebastián De Los Reyes
San Sebastián De Los Reyes,2 baños,375.000 €,4 dorm.,171 m,Piso en venta en San Sebastián De Los Reyes
Meco,2 baños,258.000 €,3 dorm.,164 m,Casa en venta en Meco
Ensanche- Alcalá De Henares,2 baños,195.000 €,3 dorm.,157 m,Piso en venta en Chorrillo - Estación - Ensanche
Villa De Vallecas- Casco Histórico De Vallecas- Madrid,1 baño,129.900 €,2 dorm.,73 m,Piso en venta en C. Manuel Pavía
Villa De Vallecas- Casco Histórico De Vallecas- Madrid,2 baños,119.900 €,2 dorm.,62 m,Piso en venta en C. Manuel Pavía
Marque De Vadillo - Comillas- Madrid,1 baño,189.000 €,2 dorm.,96 m,Piso en venta en Carabanchel
Villaverde Alto- Madrid,2 baños,205.000 €,4 dorm.,93 m,Piso en venta en Villaverde
Madrid,1 baño,165.000 €,3 dorm.,88 m,Piso en venta en Moratalaz
Pueblo Nuevo- Madrid,1 baño,280.000 €,4 dorm.,118 m,Piso en venta en Ciudad Lineal
Rosas- Madrid,1 baño,114.999 €,2 dorm.,49 m,Piso en venta en San Blas
San Fernando De Henares,1 baño,189.000 €,3 dorm.,94 m,Piso en venta en San Fernando De Henares
Ventas- Madrid,1 baño,145.000 €,2 dorm.,55 m,Piso en venta en Ciudad Lineal
San Fernando De Henares,1 baño,137.800 €,1 dorm.,67 m,Piso en venta en San Fernando De Henares
Coslada,1 baño,99.000 €,2 dorm.,57 m,Piso en venta en Coslada
San Fernando De Henares,1 baño,189.500 €,2 dorm.,94 m,Piso en venta en San Fernando De Henares
San Fernando De Henares,1 baño,195.000 €,3 dorm.,95 m,Piso en venta en San Fernando De Henares
San Nicasio- Leganés,2 baños,429.900 €,3 dorm.,175 m,Ático en venta en San Nicasio - Santos - Batallas
Getafe,1 baño,149.990 €,2 dorm.,54 m,Piso en venta en Juan De La Cierva
Loeches,2 baños,185.000 €,2 dorm.,144 m,Piso en venta en Loeches
Torres Bellas- Alcorcón,1 baño,179.000 €,3 dorm.,80 m,Piso en venta en Centro - Ondarreta - Torres Bellas
Palomeras - Portazgo- Madrid,2 baños,220.000 €,3 dorm.,73 m,Piso en venta en Puente De Vallecas
Torres Bellas- Alcorcón,1 baño,145.000 €,2 dorm.,67 m,Piso en venta en Centro - Ondarreta - Torres Bellas
Lucero- Madrid,1 baño,160.000 €,2 dorm.,71 m,Piso en venta en Latina
Casco Histórico De Vallecas- Madrid,2 baños,285.000 €,3 dorm.,89 m,Piso en venta en Villa De Vallecas
Alcobendas,1 baño,180.000 €,2 dorm.,64 m,Piso en venta en Alcobendas
Delicias - Embajadores- Madrid,2 baños,439.000 €,3 dorm.,100 m,Piso en venta en Arganzuela
Delicias - Embajadores- Madrid,1 baño,125.000 €,4 dorm.,66 m,Piso en venta en Arganzuela
Delicias - Embajadores- Madrid,1 baño,240.000 €,1 dorm.,65 m,Piso en venta en Arganzuela
Valdeacederas- Madrid,1 baño,179.999 €,2 dorm.,72 m,Piso en venta en Tetuán
Villaverde Bajo - Oroquieta - Espinillo- Madrid,1 baño,110.000 €,2 dorm.,62 m,Piso en venta en Villaverde
Juan De Austria- Alcalá De Henares,1 baño,174.000 €,3 dorm.,87 m,Piso en venta en Pryconsa - Juan De Austria - El Val
Marque De Vadillo - Comillas- Madrid,1 baño,189.000 €,4 dorm.,110 m,Piso en venta en Carabanchel
Loeches,1 baño,99.900 €,1 dorm.,54 m,Piso en venta en Loeches
Opañel - San Isidro- Madrid,2 baños,219.000 €,3 dorm.,89 m,Piso en venta en Carabanchel
Loeches,2 baños,179.900 €,2 dorm.,104 m,Piso en venta en Loeches
Torrejón De Ardoz,2 baños,178.900 €,3 dorm.,106 m,Piso en venta en Torrejón De Ardoz
Valdemoro,2 baños,225.000 €,3 dorm.,137 m,Piso en venta en Valdemoro
El Escorial,2 baños,275.000 €,5 dorm.,160 m,Casa en venta en El Escorial
Móstoles,1 baño,99.900 €,3 dorm.,78 m,Piso en venta en Centro - Hospital
Madrid,1 baño,310.000 €,2 dorm.,60 m,Piso en venta en Retiro
El Bercial- Getafe,2 baños,332.000 €,4 dorm.,116 m,Piso en venta en Getafe Norte - El Bercial - Los Molinos
Parque Lisboa- Alcorcón,2 baños,338.000 €,4 dorm.,144 m,Piso en venta en Parque Lisboa - Valderas - Los Castillos
Hortaleza- Canillas- Madrid,1 baño,252.000 €,1 dorm.,72 m,Piso en venta en Calle Agustín Calvo
Collado Villalba,1 baño,100.000 €,2 dorm.,317 m,Terrenos en venta en Collado Villalba
Parla,1 baño,135.000 €,3 dorm.,79 m,Piso en venta en Parla
Madrid,1 baño,157.000 €,2 dorm.,59 m,Piso en venta en Moratalaz
Getafe Centro- Getafe,1 baño,99.000 €,1 dorm.,54 m,Piso en venta en Getafe Centro - San Isidro -  La Alhondiga
San Sebastián De Los Reyes,1 baño,140.000 €,2 dorm.,57 m,Piso en venta en San Sebastián De Los Reyes
Boadilla Del Monte,2 baños,298.000 €,2 dorm.,77 m,Piso en venta en Boadilla Del Monte
Arganzuela- Acacias - Legazpi- Madrid,1 baño,300.000 €,2 dorm.,97 m,Piso en venta en Paseo de Santa María de la Cabeza
San Nicasio- Leganés,2 baños,269.900 €,3 dorm.,100 m,Piso en venta en San Nicasio - Santos - Batallas
Ciudad Lineal- Quintana- Madrid,2 baños,180.000 €,3 dorm.,80 m,Piso en venta en Calle de Sta Genoveva
Ensanche- Alcalá De Henares,1 baño,185.000 €,2 dorm.,103 m,Piso en venta en Chorrillo - Estación - Ensanche
La Paz- Madrid,2 baños,423.000 €,3 dorm.,133 m,Piso en venta en Fuencarral
Rosas- Madrid,2 baños,204.999 €,4 dorm.,108 m,Piso en venta en San Blas
Juan De Austria- Alcalá De Henares,1 baño,119.000 €,1 dorm.,47 m,Piso en venta en Pryconsa - Juan De Austria - El Val
Fuenlabrada,1 baño,159.900 €,3 dorm.,78 m,Piso en venta en Centro
Getafe,1 baño,189.990 €,3 dorm.,108 m,Piso en venta en Juan De La Cierva
Loeches,1 baño,202.000 €,4 dorm.,188 m,Casa en venta en Loeches
Universidad- Móstoles,2 baños,265.000 €,4 dorm.,139 m,Piso en venta en Norte - Universidad
Centro- Leganés,1 baño,180.000 €,3 dorm.,95 m,Piso en venta en Centro - Escritores
Getafe,1 baño,129.990 €,3 dorm.,69 m,Piso en venta en Juan De La Cierva
Centro- Leganés,2 baños,229.000 €,2 dorm.,76 m,Piso en venta en Centro - Escritores
Palomeras - Portazgo- Madrid,1 baño,128.000 €,2 dorm.,50 m,Piso en venta en Puente De Vallecas
Palomeras - Portazgo- Madrid,1 baño,99.900 €,2 dorm.,50 m,Piso en venta en Puente De Vallecas
Canillejas- Madrid,1 baño,189.999 €,1 dorm.,96 m,Piso en venta en San Blas
Simancas- Madrid,1 baño,235.000 €,3 dorm.,103 m,Piso en venta en San Blas
Puerta Bonita - Abrantes- Madrid,1 baño,149.000 €,3 dorm.,77 m,Piso en venta en Carabanchel
Reyes Catolicos- Alcalá De Henares,2 baños,219.900 €,3 dorm.,92 m,Piso en venta en Reyes Catolicos - Rinconada - Venecia
Torrejón De Ardoz,2 baños,249.900 €,3 dorm.,118 m,Piso en venta en Torrejón De Ardoz
Torrejón De Ardoz,2 baños,179.900 €,2 dorm.,76 m,Piso en venta en Torrejón De Ardoz
Getafe,1 baño,159.990 €,3 dorm.,79 m,Piso en venta en Juan De La Cierva
Alcobendas,1 baño,230.000 €,3 dorm.,85 m,Piso en venta en Alcobendas
Valdemoro,3 baños,309.000 €,5 dorm.,263 m,Casa en venta en Valdemoro
Valdemoro,3 baños,390.000 €,3 dorm.,258 m,Casa en venta en Valdemoro
Aranjuez,1 baño,109.000 €,2 dorm.,100 m,Piso en venta en Calle Manuel Saavedra
Coslada,1 baño,115.000 €,3 dorm.,75 m,Piso en venta en Coslada
Villafontana I- Móstoles,2 baños,187.000 €,4 dorm.,101 m,Piso en venta en Villafontana I - Pau
Santos- Leganés,1 baño,135.000 €,3 dorm.,64 m,Piso en venta en San Nicasio - Santos - Batallas
Madrid,2 baños,240.000 €,3 dorm.,93 m,Piso en venta en Moratalaz
Concepción- Madrid,1 baño,240.000 €,2 dorm.,65 m,Piso en venta en Ciudad Lineal
Palomeras - Portazgo- Madrid,1 baño,149.500 €,3 dorm.,66 m,Piso en venta en Puente De Vallecas
Móstoles,1 baño,145.000 €,1 dorm.,54 m,Piso en venta en Centro - Hospital
Canillejas- Madrid,3 baños,420.000 €,4 dorm.,196 m,Casa en venta en San Blas
Puerta Bonita - Abrantes- Madrid,1 baño,110.000 €,2 dorm.,60 m,Piso en venta en Carabanchel
San Agustín Del Guadalix,1 baño,157.000 €,3 dorm.,81 m,Piso en venta en San Agustín Del Guadalix
Orcasitas - San Fermin- Madrid,1 baño,140.000 €,3 dorm.,75 m,Piso en venta en Usera
Torrejón De Ardoz,2 baños,209.900 €,2 dorm.,91 m,Piso en venta en Torrejón De Ardoz
Ciudad Lineal- Ventas- Madrid,1 baño,176.000 €,3 dorm.,83 m,Piso en venta en Calle de Sta Genoveva
Ciudad Lineal- Ventas- Madrid,1 baño,205.000 €,3 dorm.,83 m,Piso en venta en Calle de Sta Genoveva
Ciudad De Los Angeles- Madrid,1 baño,169.000 €,3 dorm.,81 m,Piso en venta en Villaverde
Canillejas- Madrid,2 baños,258.000 €,2 dorm.,90 m,Piso en venta en San Blas
San Agustín Del Guadalix,4 baños,610.000 €,5 dorm.,370 m,Casa en venta en San Agustín Del Guadalix
Coslada,2 baños,245.000 €,3 dorm.,105 m,Piso en venta en Coslada
Hortaleza- Canillas- Madrid,2 baños,240.000 €,3 dorm.,84 m,Piso en venta en Calle Mota del Cuervo
Torrejón De Ardoz,1 baño,159.900 €,3 dorm.,76 m,Piso en venta en Torrejón De Ardoz
Móstoles,1 baño,128.000 €,3 dorm.,76 m,Piso en venta en Centro - Hospital
Moralzarzal,2 baños,179.900 €,2 dorm.,95 m,Piso en venta en Moralzarzal
Peñagrande- Madrid,1 baño,180.000 €,2 dorm.,60 m,Piso en venta en Fuencarral
Santa Eugenia- Madrid,1 baño,165.000 €,3 dorm.,95 m,Piso en venta en Villa De Vallecas
Opañel - San Isidro- Madrid,1 baño,330.000 €,4 dorm.,105 m,Casa en venta en Carabanchel
Orcasitas - San Fermin- Madrid,2 baños,269.000 €,3 dorm.,95 m,Casa en venta en Usera
Villa De Vallecas- Santa Eugenia- Madrid,2 baños,185.000 €,3 dorm.,87 m,Piso en venta en Calle Fuentespina
Prosperidad- Madrid,2 baños,429.000 €,2 dorm.,132 m,Piso en venta en Chamartín
Parla,1 baño,120.000 €,3 dorm.,81 m,Piso en venta en Parla
Parla,1 baño,118.500 €,3 dorm.,75 m,Piso en venta en Parla
Centro- Leganés,1 baño,149.000 €,3 dorm.,70 m,Piso en venta en Centro - Escritores
Aluche- Madrid,1 baño,154.999 €,2 dorm.,67 m,Piso en venta en Latina
La Paz- Madrid,2 baños,425.000 €,4 dorm.,125 m,Piso en venta en Fuencarral
Valderas- Alcorcón,1 baño,153.000 €,2 dorm.,66 m,Piso en venta en Parque Lisboa - Valderas - Los Castillos
Valderas- Alcorcón,1 baño,162.500 €,3 dorm.,65 m,Piso en venta en Parque Lisboa - Valderas - Los Castillos
San Cristóbal- Madrid,2 baños,117.986 €,3 dorm.,80 m,Piso en venta en Villaverde
Palacio- Madrid,1 baño,575.000 €,4 dorm.,138 m,Piso en venta en Centro
Mejorada Del Campo,1 baño,132.260 €,3 dorm.,71 m,Piso en venta en Mejorada Del Campo
Valdemoro,2 baños,169.000 €,2 dorm.,96 m,Piso en venta en Valdemoro
Zarzaquemada- Leganés,1 baño,179.900 €,3 dorm.,73 m,Piso en venta en Zarzaquemada - Carrascal
Simancas- Madrid,1 baño,117.000 €,3 dorm.,50 m,Piso en venta en San Blas
Valdemoro,2 baños,209.000 €,2 dorm.,87 m,Piso en venta en Valdemoro
Madrid,2 baños,1.500.000 €,5 dorm.,284 m,Piso en venta en Retiro
Las Rozas De Madrid,1 baño,167.000 €,3 dorm.,70 m,Piso en venta en Las Rozas De Madrid
Villaviciosa De Odón,4 baños,449.000 €,7 dorm.,425 m,Casa en venta en Villaviciosa De Odón
Moralzarzal,1 baño,125.000 €,3 dorm.,65 m,Piso en venta en Moralzarzal
Pozuelo De Alarcón,2 baños,345.000 €,3 dorm.,100 m,Casa en venta en C. Sta. Lucía
Moralzarzal,1 baño,83.000 €,1 dorm.,49 m,Piso en venta en Moralzarzal
Concepción- Madrid,1 baño,85.000 €,1 dorm.,50 m,Local comercial en venta en Ciudad Lineal
Moralzarzal,1 baño,399.000 €,3 dorm.,185 m,Casa en venta en Moralzarzal
Móstoles,1 baño,135.000 €,2 dorm.,55 m,Piso en venta en Centro - Hospital
Zarzaquemada- Leganés,1 baño,145.000 €,3 dorm.,64 m,Piso en venta en Zarzaquemada - Carrascal
Ciudad Lineal- Ventas- Madrid,1 baño,128.000 €,2 dorm.,52 m,Piso en venta en Calle y Travesía del Poeta Blas de Otero
Universidad- Móstoles,3 baños,419.000 €,4 dorm.,240 m,Piso en venta en Norte - Universidad
